No,Test_Size,Max_Features,Accuracy Score,Precision Score,Recall Score,F1 Score,Loss,Val Loss
1,0.3,5000,0.8556142580084264,0.8578425516664676,0.8811042944785276,0.8553879979294752,"[0.6894384622573853, 0.6681421995162964, 0.6182833313941956, 0.5514988303184509, 0.48352915048599243, 0.42795538902282715, 0.38681405782699585, 0.3573431670665741, 0.3361738920211792, 0.32016173005104065]","[0.6833229660987854, 0.6489993929862976, 0.5906931757926941, 0.5252935290336609, 0.4676764905452728, 0.42462897300720215, 0.3950183093547821, 0.3753312826156616, 0.36149194836616516, 0.3522118926048279]"
2,0.3,5000,0.8563498963418712,0.8523954908407703,0.8906748466257669,0.8559417414279588,"[0.6899040937423706, 0.6701621413230896, 0.624972403049469, 0.5586948394775391, 0.48971039056777954, 0.4325598478317261, 0.3902987837791443, 0.36011359095573425, 0.3382796347141266, 0.32197105884552]","[0.6841396689414978, 0.6533154249191284, 0.5983836650848389, 0.5318202376365662, 0.47265928983688354, 0.42842280864715576, 0.3978627622127533, 0.37704768776893616, 0.3629213273525238, 0.35335731506347656]"
3,0.3,5000,0.8577542967966294,0.8545026486168334,0.8906748466257669,0.8573781143421039,"[0.6883989572525024, 0.6645352244377136, 0.6128301024436951, 0.5463657975196838, 0.48236387968063354, 0.42936426401138306, 0.3890438377857208, 0.35940688848495483, 0.33739060163497925, 0.3210775852203369]","[0.6810625791549683, 0.6444328427314758, 0.5853965878486633, 0.5226051807403564, 0.4686010777950287, 0.4270618259906769, 0.39752644300460815, 0.37692126631736755, 0.36278197169303894, 0.3530708849430084]"
4,0.3,5000,0.85728616331171,0.8492800743149095,0.8974233128834356,0.8567447944937396,"[0.689821183681488, 0.6683294177055359, 0.6169639229774475, 0.5475314259529114, 0.47926098108291626, 0.42401841282844543, 0.38367483019828796, 0.35483866930007935, 0.3338882327079773, 0.31807783246040344]","[0.6838974952697754, 0.6489323973655701, 0.5882996916770935, 0.521247148513794, 0.46363523602485657, 0.42147478461265564, 0.392613023519516, 0.3729812800884247, 0.35979461669921875, 0.35116976499557495]"
5,0.3,5000,0.8579549254330234,0.8586050940252321,0.8851533742331288,0.8576959769721206,"[0.6893744468688965, 0.6640799045562744, 0.6060357093811035, 0.5329357385635376, 0.465617835521698, 0.4131333827972412, 0.3754531443119049, 0.3486146330833435, 0.32884088158607483, 0.3138295114040375]","[0.682580828666687, 0.6413527131080627, 0.5752098560333252, 0.5074851512908936, 0.45232537388801575, 0.4129788279533386, 0.38651028275489807, 0.36856579780578613, 0.35633715987205505, 0.34791186451911926]"
6,0.3,10000,0.8564167725540025,0.852910052910053,0.8900613496932516,0.8560236768216508,"[0.6899283528327942, 0.6673604846000671, 0.6157832741737366, 0.5484688878059387, 0.48183271288871765, 0.4256146550178528, 0.3823423981666565, 0.34984466433525085, 0.32531681656837463, 0.30621522665023804]","[0.6838656067848206, 0.6476313471794128, 0.5894679427146912, 0.5261820554733276, 0.4705485701560974, 0.4276285767555237, 0.39688482880592346, 0.37526342272758484, 0.36019209027290344, 0.3499773144721985]"
7,0.3,10000,0.8567511536146593,0.8540782649693541,0.889079754601227,0.856386842649261,"[0.6884410977363586, 0.6643741726875305, 0.6173102259635925, 0.5582468509674072, 0.4980178773403168, 0.44345811009407043, 0.39846259355545044, 0.36319825053215027, 0.33609846234321594, 0.31512364745140076]","[0.6805786490440369, 0.6459243893623352, 0.5944687128067017, 0.5388336777687073, 0.486599862575531, 0.4428321123123169, 0.40935957431793213, 0.3847702741622925, 0.367441326379776, 0.35500288009643555]"
8,0.3,10000,0.8578880492208921,0.8522155968665965,0.8943558282208589,0.8574335777859937,"[0.6893848776817322, 0.6661918759346008, 0.618587851524353, 0.5568750500679016, 0.49321216344833374, 0.43704313039779663, 0.3921840488910675, 0.3580307960510254, 0.33224549889564514, 0.3124583661556244]","[0.6823924779891968, 0.6475649476051331, 0.59479159116745, 0.535598874092102, 0.4807150661945343, 0.43655845522880554, 0.4039129912853241, 0.38049954175949097, 0.36454543471336365, 0.3530179262161255]"
9,0.3,10000,0.857085534675316,0.8556725422926772,0.8874846625766871,0.8567620403977957,"[0.6891297698020935, 0.6650707721710205, 0.6138201951980591, 0.5461603999137878, 0.47867467999458313, 0.42238956689834595, 0.37944507598876953, 0.34747010469436646, 0.3232851028442383, 0.3046904504299164]","[0.6821688413619995, 0.6453233957290649, 0.5876345038414001, 0.5234470963478088, 0.4672657549381256, 0.4245430529117584, 0.3946007192134857, 0.37331196665763855, 0.35933157801628113, 0.3487418591976166]"
10,0.3,10000,0.8581555540694175,0.855693215339233,0.8898159509202453,0.8578064623569935,"[0.6878431439399719, 0.6593359708786011, 0.6023125648498535, 0.5347044467926025, 0.47065767645835876, 0.4171026945114136, 0.3755524158477783, 0.3440686762332916, 0.3201773762702942, 0.30185046792030334]","[0.6790223121643066, 0.6365139484405518, 0.575890064239502, 0.514603316783905, 0.4621090292930603, 0.4216187298297882, 0.39198270440101624, 0.3718213140964508, 0.35791754722595215, 0.34802746772766113]"
11,0.3,15000,0.8574199157359728,0.851600841318065,0.8942331288343558,0.8569569343184179,"[0.6869579553604126, 0.6540491580963135, 0.5966190695762634, 0.5306877493858337, 0.4682082533836365, 0.4152676463127136, 0.3730837404727936, 0.34030142426490784, 0.31479501724243164, 0.29469504952430725]","[0.676281750202179, 0.6312793493270874, 0.5729610919952393, 0.5149426460266113, 0.4641699194908142, 0.42471447587013245, 0.39579468965530396, 0.37461915612220764, 0.36032015085220337, 0.35044264793395996]"
12,0.3,15000,0.8576874205844981,0.8532379164711403,0.8923926380368098,0.8572722462736294,"[0.6880998611450195, 0.6572198271751404, 0.5988209247589111, 0.5295202136039734, 0.46332740783691406, 0.4086582362651825, 0.36654913425445557, 0.33461233973503113, 0.31016117334365845, 0.2909240424633026]","[0.678475558757782, 0.6341069936752319, 0.5731282830238342, 0.5106616020202637, 0.45775488018989563, 0.4175296425819397, 0.3891131281852722, 0.36934131383895874, 0.35585078597068787, 0.3470263183116913]"
13,0.3,15000,0.8564836487661339,0.8546786389413988,0.8876073619631902,0.8561446983853769,"[0.6872538924217224, 0.656130850315094, 0.597659170627594, 0.5260359644889832, 0.45809516310691833, 0.40298980474472046, 0.36163127422332764, 0.3307625651359558, 0.30717092752456665, 0.2886615991592407]","[0.6772513389587402, 0.6336636543273926, 0.5715475082397461, 0.5070332288742065, 0.45322638750076294, 0.4135866165161133, 0.38632073998451233, 0.3676242232322693, 0.35490408539772034, 0.3463911712169647]"
14,0.3,15000,0.8574867919481041,0.8556067588325653,0.8884662576687117,0.8571514896946647,"[0.6889694929122925, 0.6661296486854553, 0.6215173602104187, 0.5638339519500732, 0.503915548324585, 0.44964441657066345, 0.4036766290664673, 0.3661305606365204, 0.33620521426200867, 0.3124910891056061]","[0.6815650463104248, 0.6490135788917542, 0.600418210029602, 0.5459765195846558, 0.4952470660209656, 0.4526291489601135, 0.418364554643631, 0.391897052526474, 0.37296536564826965, 0.35915565490722656]"
15,0.3,15000,0.8567511536146593,0.8551667060770868,0.8874846625766871,0.8564205282388601,"[0.6889182329177856, 0.6637750864028931, 0.6104477643966675, 0.5393890142440796, 0.468924880027771, 0.411129891872406, 0.36759820580482483, 0.3353169560432434, 0.3109740912914276, 0.2919163405895233]","[0.6812030673027039, 0.6437613368034363, 0.5838857293128967, 0.5174981355667114, 0.46056121587753296, 0.41851910948753357, 0.3894009292125702, 0.3695102334022522, 0.35593220591545105, 0.34693244099617004]"
