No,Test_Size,Max_Features,Accuracy Score,Precision Score,Recall Score,F1 Score,Loss,Val Loss
1,0.3,5000,0.8619674981609041,0.8684911600871882,0.88,0.861869562008658,"[0.6887543201446533, 0.6536275148391724, 0.5632604956626892, 0.464761883020401, 0.3902933597564697, 0.3417774438858032, 0.31241947412490845, 0.29417848587036133, 0.28192222118377686, 0.27299320697784424]","[0.6803753972053528, 0.6175152063369751, 0.5202475190162659, 0.44043371081352234, 0.38825365900993347, 0.35991403460502625, 0.34509140253067017, 0.3390895128250122, 0.33679115772247314, 0.3363156020641327]"
2,0.3,5000,0.8615662408881161,0.8624225083452551,0.8876073619631902,0.8613300305989487,"[0.6893554925918579, 0.6596730947494507, 0.5732225775718689, 0.46554404497146606, 0.3838777244091034, 0.33611366152763367, 0.30917876958847046, 0.29237616062164307, 0.28093236684799194, 0.2723766565322876]","[0.6824331879615784, 0.6270245909690857, 0.5263845324516296, 0.4356747567653656, 0.38161006569862366, 0.35532692074775696, 0.3431270718574524, 0.3371199071407318, 0.33552882075309753, 0.3355967700481415]"
3,0.3,5000,0.8618337457366415,0.8606829499644297,0.8906748466257669,0.861544067701159,"[0.6900486946105957, 0.6605912446975708, 0.5720344185829163, 0.46398842334747314, 0.3840101361274719, 0.3365866541862488, 0.30942144989967346, 0.2926883399486542, 0.28151464462280273, 0.2729780673980713]","[0.683574378490448, 0.6275936365127563, 0.5241760015487671, 0.435468465089798, 0.3824462294578552, 0.3559616804122925, 0.34331005811691284, 0.33806905150413513, 0.33677029609680176, 0.33669352531433105]"
4,0.3,5000,0.8614993646759848,0.8631855657784682,0.8863803680981595,0.8612845714297989,"[0.6899904012680054, 0.6591044664382935, 0.5665249228477478, 0.45230722427368164, 0.37436115741729736, 0.3316637873649597, 0.3071807622909546, 0.2916261851787567, 0.28082939982414246, 0.27286913990974426]","[0.6834293603897095, 0.6247661709785461, 0.5153656005859375, 0.424147367477417, 0.37593913078308105, 0.3529781997203827, 0.3419773578643799, 0.33696600794792175, 0.3351782262325287, 0.3351582884788513]"
5,0.3,5000,0.8614993646759848,0.8626655530366305,0.8871165644171779,0.8612710268678926,"[0.6891722083091736, 0.6554306149482727, 0.5602735877037048, 0.4481837749481201, 0.3707845211029053, 0.3280739188194275, 0.3037666380405426, 0.2883559763431549, 0.27758970856666565, 0.26952236890792847]","[0.6812593340873718, 0.6196554899215698, 0.5105565786361694, 0.4212825894355774, 0.3734860122203827, 0.3511563539505005, 0.3411119878292084, 0.3364359736442566, 0.3353859484195709, 0.3357728123664856]"
6,0.3,10000,0.8615662408881161,0.8651213067499399,0.8838036809815951,0.8613985433112511,"[0.6885831952095032, 0.6492830514907837, 0.5551344752311707, 0.4518384635448456, 0.37248465418815613, 0.32171714305877686, 0.29034799337387085, 0.2695820927619934, 0.2549499273300171, 0.24380086362361908]","[0.6792677044868469, 0.6124733090400696, 0.5139273405075073, 0.4316364824771881, 0.37993237376213074, 0.35282641649246216, 0.340315580368042, 0.33553028106689453, 0.335335910320282, 0.33731865882873535]"
7,0.3,10000,0.863305022403531,0.8734099804305284,0.8761963190184049,0.863283012563745,"[0.6903824210166931, 0.6607340574264526, 0.565925657749176, 0.44594284892082214, 0.36123332381248474, 0.3137240707874298, 0.2855989634990692, 0.26691076159477234, 0.2529348134994507, 0.24204401671886444]","[0.6840872168540955, 0.6266957521438599, 0.514740526676178, 0.41929465532302856, 0.368585467338562, 0.34545058012008667, 0.33533111214637756, 0.3313855826854706, 0.33113807439804077, 0.3336164355278015]"
8,0.3,10000,0.8635725272520565,0.8687831965234186,0.8830674846625767,0.8634502385503704,"[0.6903035044670105, 0.663190484046936, 0.5861144065856934, 0.47671544551849365, 0.38652503490448, 0.3309376835823059, 0.2978925406932831, 0.27623721957206726, 0.26069357991218567, 0.24872620403766632]","[0.6840474605560303, 0.6358615159988403, 0.5418868660926819, 0.44572219252586365, 0.38570934534072876, 0.3549918532371521, 0.3404862582683563, 0.33384138345718384, 0.3317328095436096, 0.3318710923194885]"
9,0.3,10000,0.863305022403531,0.8698812696874243,0.8809815950920246,0.8632118890061723,"[0.6901893019676208, 0.6643521189689636, 0.5824065208435059, 0.4676412045955658, 0.37771525979042053, 0.3245055377483368, 0.29369357228279114, 0.27362197637557983, 0.2590506076812744, 0.24762669205665588]","[0.6843632459640503, 0.6357876062393188, 0.5348516702651978, 0.43828240036964417, 0.38035818934440613, 0.3527809977531433, 0.3406066298484802, 0.33522048592567444, 0.3338960111141205, 0.33503270149230957]"
10,0.3,10000,0.8604962214940146,0.8716597205197353,0.8725153374233129,0.8604894021984634,"[0.6887726783752441, 0.6527293920516968, 0.5620295405387878, 0.4588141143321991, 0.37765854597091675, 0.32451117038726807, 0.29173263907432556, 0.27049896121025085, 0.2555243968963623, 0.2441266030073166]","[0.6799050569534302, 0.6181191205978394, 0.5207058787345886, 0.4372778832912445, 0.38311001658439636, 0.354623407125473, 0.3414081037044525, 0.3366842269897461, 0.3371492326259613, 0.338149756193161]"
